date,open,high,low,close,volume,open_interest
20260325,3720,3741,3713,3736,899,7143
20260326,3736,3779,3729,3774,2443,7115
20260327,3776,3783,3761,3773,648,7059
20260330,3760,3774,3751,3765,1070,6856
20260331,3773,3777,3753,3754,577,6804
20260401,3763,3770,3727,3733,1409,6570
20260402,3737,3737,3677,3688,3646,7335
20260403,3687,3687,3671,3678,1875,8073
20260407,3677,3683,3644,3656,3736,9734
20260408,3653,3667,3631,3664,3394,10803
20260409,3660,3680,3653,3675,1410,10486
20260410,3678,3702,3668,3676,2194,10081
20260413,3680,3707,3596,3605,8531,11413
20260414,3606,3618,3570,3603,3270,11832
20260415,3578,3626,3578,3614,4763,11990
20260416,3614,3630,3594,3600,2191,12112
20260417,3607,3614,3569,3586,4294,11839
20260420,3570,3611,3570,3589,4777,13800
20260421,3590,3604,3571,3579,3809,14601
20260422,3580,3617,3580,3597,7474,17911
20260423,3600,3632,3600,3632,5598,19484
20260424,3629,3664,3622,3660,3602,19868
20260427,3659,3692,3650,3684,7020,21341
20260428,3685,3685,3644,3662,4849,21804
20260429,3651,3690,3649,3674,5450,24177
20260430,3680,3752,3669,3715,9265,26429
20260506,3719,3746,3653,3661,9574,27000
20260507,3680,3680,3620,3654,9139,30405
20260508,3666,3701,3637,3649,9663,32067
20260511,3670,3703,3666,3700,10878,34899
20260512,3700,3701,3645,3668,11521,35603
20260513,3668,3694,3649,3685,8762,34125
20260514,3690,3732,3677,3716,6899,34555
20260515,3730,3779,3718,3739,12374,35825
20260518,3730,3829,3718,3829,13743,37114
20260519,3824,3859,3796,3813,15883,40814
20260520,3810,3892,3810,3882,21737,48299
20260521,3869,3900,3852,3864,14553,51945
20260522,3875,3889,3818,3871,19293,54697
20260525,3870,3870,3750,3781,25745,56008
20260526,3800,3874,3781,3868,23203,62292
20260527,3898,3938,3850,3876,36115,67299
20260528,3861,3892,3804,3838,30229,68405
20260529,3834,3905,3830,3865,34400,73481
20260601,3933,4077,3930,3997,102226,82984
20260602,3998,4000,3871,3900,63756,88589
20260603,3900,3939,3844,3902,46501,95777
20260604,3900,3926,3860,3914,62332,107650
20260605,3911,4035,3880,3988,93283,108656
20260608,3988,4038,3946,3960,68523,107081
20260609,3960,4019,3913,4014,63779,106993
20260610,4003,4064,3983,4022,50700,107886
20260611,4026,4058,3984,4042,49001,111021
20260612,4016,4129,4015,4116,53280,110688
20260615,4130,4214,4071,4213,71092,118346
20260616,4203,4262,4197,4235,70039,124951
20260617,4215,4233,4141,4190,78687,124263
20260618,4161,4198,4023,4069,120370,116854
20260622,4000,4039,3879,3881,96526,107445
20260623,3895,3987,3895,3980,84561,115360
20260624,3930,4030,3925,4020,64392,120255
20260625,4008,4048,3958,4013,72774,123031
20260626,3999,4058,3993,4047,72831,128068
20260629,4028,4148,4014,4097,96690,135068
20260630,4100,4129,4027,4069,87610,136466
20260701,4058,4073,3983,4028,101271,136790
20260702,4036,4057,3997,4027,56831,138630
20260703,4015,4054,4009,4054,50747,138483
20260706,4059,4107,4038,4081,74053,139502
20260707,4080,4080,4045,4066,41962,138854
20260708,4059,4142,4052,4138,85581,141193
20260709,4120,4236,4058,4143,178250,140620
20260710,4199,4212,4152,4201,94808,145531
20260713,4180,4189,4101,4111,92393,138724
20260714,4111,4114,3970,3993,109666,130792
20260715,4020,4085,4001,4080,94157,140109
20260716,4055,4109,4040,4087,88269,149537
20260717,4085,4109,4027,4052,86538,140734
20260720,4063,4063,3921,3959,120181,137655
20260721,3917,3979,3897,3964,95149,137483
20260722,3960,4007,3943,3952,74218,145595
20260723,3952,3996,3921,3985,78648,146997
20260724,3975,3982,3813,3836,153924,131248
20260727,3876,3876,3812,3843,71125,132549
20260728,3870,3891,3849,3863,58934,133516
20260729,3859,3885,3831,3849,64203,134413
20260730,3840,3840,3756,3766,85012,131747
20260731,3748,3783,3721,3753,77977,135966
20260803,3796,3879,3788,3867,115866,147365
20260804,3875,3875,3770,3791,121007,154248
20260805,3800,3849,3796,3831,100669,156115
20260806,3840,3870,3806,3865,115781,166137
20260807,3863,3907,3848,3888,118113,169105
20260810,3895,3898,3811,3831,114891,171396
20260811,3825,3848,3753,3756,137949,172505
20260812,3766,3846,3754,3844,145045,180863
20260813,3866,3888,3840,3862,129395,184269
20260814,3886,3899,3844,3884,140014,182787
20260817,3900,3916,3827,3851,127668,191193
20260818,3838,3838,3730,3787,165572,193266
20260819,3762,3827,3723,3732,197689,186374
20260820,3733,3803,3726,3788,136376,182926
20260821,3785,3809,3728,3752,147330,178891
20260824,3782,3791,3684,3687,170573,185619
20260825,3673,3712,3628,3692,184792,185490
20260826,3679,3742,3669,3728,139892,191779
20260827,3720,3733,3688,3715,111632,196277
20260828,3702,3738,3681,3734,117534,196978
20260831,3737,3758,3700,3722,136072,198506
20260901,3715,3722,3656,3687,172391,214726
20260902,3687,3699,3651,3655,133128,219657
20260903,3655,3727,3655,3717,185487,228253
20260904,3710,3749,3708,3738,174568,232058
20260907,3758,3830,3729,3827,326207,250598
20260908,3825,3853,3805,3806,313144,260482
20260909,3807,3836,3796,3825,287982,270019
20260910,3810,3862,3803,3842,304787,266726
20260911,3828,3845,3791,3829,286535,267863
20260914,3860,3886,3840,3854,312016,284889
20260915,3845,3845,3771,3782,296168,293907
