date,open,high,low,close,volume,hold,settle
2025-11-26,3739.0,3800.0,3719.0,3800.0,522,440,3775.0
2025-11-27,3791.0,3848.0,3791.0,3833.0,410,726,3811.0
2025-11-28,3839.0,3878.0,3819.0,3872.0,494,1100,3858.0
2025-12-01,3871.0,3987.0,3871.0,3987.0,1451,2034,3949.0
2025-12-02,3984.0,4038.0,3954.0,3968.0,1670,2545,3989.0
2025-12-03,3958.0,4002.0,3934.0,3976.0,1658,2901,3976.0
2025-12-04,3969.0,3981.0,3927.0,3973.0,962,2909,3954.0
2025-12-05,3967.0,3998.0,3965.0,3988.0,433,3081,3982.0
2025-12-08,3995.0,4020.0,3988.0,4020.0,824,3455,4004.0
2025-12-09,4020.0,4028.0,3971.0,3980.0,622,3433,3999.0
2025-12-10,3983.0,3993.0,3944.0,3956.0,849,3442,3966.0
2025-12-11,3957.0,3990.0,3951.0,3975.0,622,3755,3978.0
2025-12-12,3978.0,3983.0,3947.0,3983.0,552,3884,3967.0
2025-12-15,3980.0,3980.0,3959.0,3966.0,672,4049,3969.0
2025-12-16,3961.0,3961.0,3912.0,3912.0,577,4064,3938.0
2025-12-17,3910.0,3910.0,3861.0,3891.0,1381,4241,3885.0
2025-12-18,3886.0,3899.0,3871.0,3880.0,952,4481,3885.0
2025-12-19,3878.0,3893.0,3864.0,3878.0,2660,6219,3880.0
2025-12-22,3878.0,3928.0,3878.0,3900.0,1347,6223,3904.0
2025-12-23,3906.0,3924.0,3895.0,3908.0,1378,5723,3905.0
2025-12-24,3909.0,3929.0,3904.0,3916.0,1059,5464,3917.0
2025-12-25,3922.0,3926.0,3908.0,3912.0,406,5530,3915.0
2025-12-26,3916.0,3926.0,3907.0,3923.0,397,5633,3916.0
2025-12-29,3925.0,3925.0,3893.0,3898.0,547,5585,3901.0
2025-12-30,3893.0,3906.0,3890.0,3904.0,122,5603,3898.0
2025-12-31,3907.0,3915.0,3899.0,3904.0,236,5592,3905.0
2026-01-05,3899.0,3909.0,3855.0,3860.0,1089,5317,3875.0
2026-01-06,3865.0,3865.0,3802.0,3825.0,1288,5385,3821.0
2026-01-07,3834.0,3835.0,3792.0,3823.0,729,5362,3809.0
2026-01-08,3832.0,3856.0,3823.0,3826.0,463,5366,3838.0
2026-01-09,3818.0,3829.0,3780.0,3807.0,888,5527,3795.0
2026-01-12,3800.0,3800.0,3774.0,3783.0,399,5456,3784.0
2026-01-13,3771.0,3797.0,3766.0,3782.0,315,5393,3787.0
2026-01-14,3782.0,3792.0,3772.0,3792.0,254,5357,3780.0
2026-01-15,3800.0,3818.0,3792.0,3810.0,456,5249,3808.0
2026-01-16,3811.0,3811.0,3791.0,3807.0,122,5245,3802.0
2026-01-19,3783.0,3801.0,3782.0,3789.0,310,5301,3790.0
2026-01-20,3795.0,3795.0,3768.0,3779.0,396,5324,3777.0
2026-01-21,3783.0,3792.0,3768.0,3768.0,270,5414,3779.0
2026-01-22,3775.0,3789.0,3770.0,3776.0,330,5461,3778.0
2026-01-23,3768.0,3784.0,3768.0,3770.0,250,5427,3772.0
2026-01-26,3790.0,3790.0,3752.0,3762.0,308,5467,3763.0
2026-01-27,3759.0,3761.0,3704.0,3715.0,755,5366,3728.0
2026-01-28,3715.0,3721.0,3704.0,3721.0,591,5584,3708.0
2026-01-29,3710.0,3725.0,3706.0,3709.0,255,5664,3711.0
2026-01-30,3708.0,3712.0,3691.0,3695.0,1164,5341,3699.0
2026-02-02,3695.0,3718.0,3695.0,3699.0,979,5186,3703.0
2026-02-03,3697.0,3709.0,3685.0,3691.0,524,5291,3693.0
2026-02-04,3685.0,3700.0,3682.0,3698.0,352,5180,3689.0
2026-02-05,3690.0,3732.0,3690.0,3718.0,944,5177,3714.0
2026-02-06,3713.0,3735.0,3710.0,3728.0,336,5223,3722.0
2026-02-09,3740.0,3750.0,3722.0,3744.0,660,5348,3740.0
2026-02-10,3743.0,3748.0,3702.0,3713.0,875,5499,3724.0
2026-02-11,3712.0,3718.0,3685.0,3697.0,1037,5917,3702.0
2026-02-12,3697.0,3724.0,3693.0,3724.0,717,5847,3712.0
2026-02-13,3724.0,3736.0,3711.0,3735.0,449,5721,3727.0
2026-02-24,3720.0,3738.0,3709.0,3715.0,539,5842,3715.0
2026-02-25,3710.0,3710.0,3671.0,3695.0,2393,5625,3690.0
2026-02-26,3684.0,3691.0,3608.0,3649.0,2370,5787,3649.0
2026-02-27,3643.0,3672.0,3642.0,3669.0,691,5847,3656.0
2026-03-02,3642.0,3676.0,3642.0,3657.0,384,5835,3661.0
2026-03-03,3651.0,3656.0,3632.0,3643.0,441,5750,3642.0
2026-03-04,3635.0,3654.0,3635.0,3654.0,183,5744,3649.0
2026-03-05,3654.0,3674.0,3654.0,3661.0,345,5656,3666.0
2026-03-06,3661.0,3676.0,3648.0,3676.0,584,5642,3666.0
2026-03-09,3673.0,3773.0,3673.0,3711.0,1360,5586,3727.0
2026-03-10,3707.0,3711.0,3683.0,3703.0,562,5845,3698.0
2026-03-11,3705.0,3718.0,3704.0,3717.0,468,5988,3710.0
2026-03-12,3718.0,3734.0,3718.0,3725.0,416,6094,3726.0
2026-03-13,3721.0,3801.0,3715.0,3733.0,1152,6138,3743.0
2026-03-16,3733.0,3745.0,3713.0,3721.0,455,6246,3721.0
2026-03-17,3715.0,3722.0,3703.0,3716.0,510,6510,3714.0
2026-03-18,3720.0,3720.0,3689.0,3692.0,661,6612,3699.0
2026-03-19,3696.0,3715.0,3674.0,3679.0,791,6807,3692.0
2026-03-20,3679.0,3701.0,3667.0,3700.0,682,6960,3687.0
2026-03-23,3700.0,3736.0,3693.0,3730.0,1146,6798,3720.0
2026-03-24,3727.0,3736.0,3711.0,3728.0,645,6837,3724.0
2026-03-25,3720.0,3741.0,3713.0,3736.0,899,7143,3730.0
2026-03-26,3736.0,3779.0,3729.0,3774.0,2443,7115,3761.0
2026-03-27,3776.0,3783.0,3761.0,3773.0,648,7059,3770.0
2026-03-30,3760.0,3774.0,3751.0,3765.0,1070,6856,3765.0
2026-03-31,3773.0,3777.0,3753.0,3754.0,577,6804,3766.0
2026-04-01,3763.0,3770.0,3727.0,3733.0,1409,6570,3738.0
2026-04-02,3737.0,3737.0,3677.0,3688.0,3646,7335,3697.0
2026-04-03,3687.0,3687.0,3671.0,3678.0,1875,8073,3677.0
2026-04-07,3677.0,3683.0,3644.0,3656.0,3736,9734,3655.0
2026-04-08,3653.0,3667.0,3631.0,3664.0,3394,10803,3644.0
2026-04-09,3660.0,3680.0,3653.0,3675.0,1410,10486,3668.0
2026-04-10,3678.0,3702.0,3668.0,3676.0,2194,10081,3679.0
2026-04-13,3680.0,3707.0,3596.0,3605.0,8531,11413,3636.0
2026-04-14,3606.0,3618.0,3570.0,3603.0,3270,11832,3601.0
2026-04-15,3578.0,3626.0,3578.0,3614.0,4763,11990,3595.0
2026-04-16,3614.0,3630.0,3594.0,3600.0,2191,12112,3606.0
2026-04-17,3607.0,3614.0,3569.0,3586.0,4294,11839,3592.0
2026-04-20,3570.0,3611.0,3570.0,3589.0,4777,13800,3583.0
2026-04-21,3590.0,3604.0,3571.0,3579.0,3809,14601,3584.0
2026-04-22,3580.0,3617.0,3580.0,3597.0,7474,17911,3595.0
2026-04-23,3600.0,3632.0,3600.0,3632.0,5598,19484,3622.0
2026-04-24,3629.0,3664.0,3622.0,3660.0,3602,19868,3641.0
2026-04-27,3659.0,3692.0,3650.0,3684.0,7020,21341,3678.0
2026-04-28,3685.0,3685.0,3644.0,3662.0,4849,21804,3659.0
2026-04-29,3651.0,3690.0,3649.0,3674.0,5450,24177,3663.0
2026-04-30,3680.0,3752.0,3669.0,3715.0,9265,26429,3719.0
2026-05-06,3719.0,3746.0,3653.0,3661.0,9574,27000,3688.0
2026-05-07,3680.0,3680.0,3620.0,3654.0,9139,30405,3647.0
2026-05-08,3666.0,3701.0,3637.0,3649.0,9663,32067,3671.0
2026-05-11,3670.0,3703.0,3666.0,3700.0,10878,34899,3685.0
2026-05-12,3700.0,3701.0,3645.0,3668.0,11521,35603,3670.0
2026-05-13,3668.0,3694.0,3649.0,3685.0,8762,34125,3676.0
2026-05-14,3690.0,3732.0,3677.0,3716.0,6899,34555,3708.0
2026-05-15,3730.0,3779.0,3718.0,3739.0,12374,35825,3740.0
2026-05-18,3730.0,3829.0,3718.0,3829.0,13743,37114,3773.0
2026-05-19,3824.0,3859.0,3796.0,3813.0,15883,40814,3827.0
2026-05-20,3810.0,3892.0,3810.0,3882.0,21737,48299,3850.0
