date,open,high,low,close,volume,open_interest
2014-01-02,3951.0,3978.0,3941.0,3975.0,31536,53426
2014-01-03,3998.0,4036.0,3980.0,4015.0,102594,55466
2014-01-06,4005.0,4024.0,3940.0,3943.0,76746,56884
2014-01-07,3832.0,3919.0,3832.0,3865.0,102798,52084
2014-01-08,3869.0,3884.0,3843.0,3857.0,46162,51118
2014-01-09,3850.0,3880.0,3808.0,3826.0,65388,54234
2014-01-10,3822.0,3847.0,3815.0,3832.0,38390,53484
2014-01-13,3830.0,3860.0,3816.0,3826.0,41632,53012
2014-01-14,3834.0,3875.0,3827.0,3865.0,40826,50164
2014-01-15,3866.0,3866.0,3820.0,3828.0,52378,54522
2014-01-17,3770.0,3785.0,3751.0,3778.0,56748,62420
2014-01-20,3772.0,3808.0,3772.0,3781.0,49338,59752
2014-01-21,3771.0,3772.0,3725.0,3734.0,52218,60536
2014-01-22,3730.0,3731.0,3666.0,3696.0,113068,63354
2014-01-23,3688.0,3721.0,3686.0,3706.0,39226,62660
2014-01-24,3700.0,3718.0,3676.0,3703.0,44774,65132
2014-01-27,3688.0,3735.0,3685.0,3726.0,69218,63276
2014-01-28,3710.0,3762.0,3710.0,3729.0,92514,59500
2014-01-29,3732.0,3759.0,3714.0,3728.0,37580,57036
2014-01-30,3727.0,3752.0,3724.0,3741.0,23578,55398
2014-02-07,3741.0,3780.0,3693.0,3697.0,44146,62834
2014-02-10,3687.0,3750.0,3676.0,3739.0,65214,67318
2014-02-11,3740.0,3767.0,3718.0,3720.0,78840,75432
2014-02-12,3719.0,3732.0,3701.0,3719.0,36230,74618
2014-02-13,3730.0,3749.0,3720.0,3730.0,32468,74504
2014-02-14,3735.0,3834.0,3708.0,3831.0,176542,83726
2014-02-17,3840.0,3859.0,3816.0,3840.0,97176,77244
2014-02-18,3842.0,3866.0,3822.0,3851.0,83344,77322
2014-02-19,3868.0,3876.0,3838.0,3850.0,58342,76518
2014-02-20,3845.0,3850.0,3777.0,3785.0,74460,74342
2014-02-21,3780.0,3798.0,3755.0,3781.0,50938,75984
2014-02-24,3785.0,3817.0,3756.0,3795.0,76830,75752
2014-02-25,3790.0,3802.0,3680.0,3687.0,82562,75122
2014-02-26,3680.0,3710.0,3630.0,3697.0,77210,71350
2014-02-27,3708.0,3726.0,3682.0,3693.0,54504,71370
2014-02-28,3700.0,3720.0,3680.0,3720.0,46804,68576
