date,equity
20260325,1000000
20260326,1000000.0
20260327,1000000.0
20260330,1000000.0
20260331,1000000.0
20260401,1000000.0
20260402,1000000.0
20260403,1000000.0
20260407,1000000.0
20260408,1000000.0
20260409,1000000.0
20260410,1000000.0
20260413,1000000.0
20260414,1000000.0
20260415,1000000.0
20260416,1000000.0
20260417,1000000.0
20260420,1000000.0
20260421,1000000.0
20260422,1000000.0
20260423,1000000.0
20260424,1000000.0
20260427,1000000.0
20260428,1000000.0
20260429,1000000.0
20260430,1000000.0
20260506,1000000.0
20260507,1000000.0
20260508,1000000.0
20260511,1000000.0
20260512,1000000.0
20260513,1000000.0
20260514,1000000.0
20260515,1000000.0
20260518,1013350.0
20260519,1010950.0
20260520,1021300.0
20260521,1018600.0
20260522,1019650.0
20260525,1006150.0
20260526,1019200.0
20260527,1020400.0
20260528,1014700.0
20260529,1018750.0
20260601,1038550.0
20260602,1024000.0
20260603,1024300.0
20260604,1026100.0
20260605,1037200.0
20260608,1033000.0
20260609,1041100.0
20260610,1042300.0
20260611,1045300.0
20260612,1056400.0
20260615,1070950.0
20260616,1074250.0
20260617,1067500.0
20260618,1049350.0
20260622,1022145.2
20260623,1022145.2
20260624,1022145.2
20260625,1022145.2
20260626,1022145.2
20260629,1022145.2
20260630,1019275.2
20260701,1016405.2
20260702,1016335.2
20260703,1018225.2
20260706,1020115.2
20260707,1019065.2
20260708,1024105.2
20260709,1024455.2
20260710,1028515.2
20260713,1022215.2
20260714,1013955.2
20260715,1020045.2
20260716,1020535.2
20260717,1018085.2
20260720,1011575.2
20260721,1011925.2
20260722,1011085.2
20260723,1013395.2
20260724,1003438.84
20260727,1003438.84
20260728,1003438.84
20260729,1003438.84
20260730,1003438.84
20260731,1003438.84
20260803,1003438.84
20260804,1003438.84
20260805,1003438.84
20260806,1003438.84
20260807,1003438.84
20260810,1003438.84
20260811,1003438.84
20260812,1003438.84
20260813,1003438.84
20260814,1003438.84
20260817,1003438.84
20260818,1003438.84
20260819,1003438.84
20260820,999388.84
20260821,1002628.84
20260824,1008478.84
20260825,1008028.84
20260826,1004788.84
20260827,1005958.84
20260828,1004248.84
20260831,1005328.84
20260901,1008478.84
20260902,1011358.84
20260903,1005778.84
20260904,1003888.84
20260907,995878.84
20260908,997768.84
20260909,996058.84
20260910,998272.84
20260911,998272.84
20260914,998272.84
20260915,998272.84
